Velocity_mps,Angle_deg,Range_m
5.0,10.0,2.547256016902062
7.0,10.0,4.985279239005782
9.0,10.0,7.707778050706189
11.0,10.0,10.714752452003279
13.0,10.0,14.006202442897058
15.0,10.0,17.58212802338752
17.0,10.0,21.442529193474672
19.0,10.0,25.587405953158503
21.0,10.0,30.01675830243903
23.0,10.0,34.73058624131624
25.0,10.0,39.72888966979014
27.0,10.0,45.011668687860716
29.0,10.0,50.57892329552799
31.0,10.0,56.43065349279195
33.0,10.0,62.56685927965261
35.0,10.0,68.98754065610997
37.0,10.0,75.692697622164
39.0,10.0,82.68233017781473
41.0,10.0,89.95643832306215
43.0,10.0,97.51502205790627
45.0,10.0,105.35808138234708
47.0,10.0,113.48561629638458
49.0,10.0,121.89762680001875
51.0,10.0,130.5941128932496
53.0,10.0,139.57507457607715
55.0,10.0,148.84051184850137
57.0,10.0,158.39042471052227
59.0,10.0,168.22481316213987
61.0,10.0,178.34367720335415
63.0,10.0,188.74701683416512
65.0,10.0,199.43483205457274
67.0,10.0,210.40712286457708
69.0,10.0,221.663889264178
71.0,10.0,233.20513125337563
73.0,10.0,245.03084883216988
75.0,10.0,257.14104100056077
77.0,10.0,269.53570875854833
79.0,10.0,282.2148521061326
81.0,10.0,295.1784710433134
83.0,10.0,308.42656557009095
85.0,10.0,321.9591356864651
87.0,10.0,335.77618139243595
89.0,10.0,349.8777026880034
91.0,10.0,364.2636995731675
93.0,10.0,378.93417204792825
95.0,10.0,393.8891201122856
97.0,10.0,409.12854376623963
99.0,10.0,424.6524430097903
100.0,10.0,432.4382625158904
